a "In; on; at; by."
unread "Not versed in literature; illiterate."
unreadiness "The quality or state of being unready."
unready "Not ready or prepared; not prompt; slow; awkward; clumsy."
unreal "Not real; unsubstantial; fanciful; ideal."
unreality "The quality or state of being unreal; want of reality."
unrealize "To make unreal; to idealize."
unreally "In an unreal manner; ideally."
unreason "Want of reason; unreasonableness; absurdity."
unreasonable "Not reasonable; irrational; immoderate; exorbitant."
unreasoned "Not supported by reason; unreasonable."
unreave "To unwind; to disentangle; to loose."
unrebukable "Not deserving rebuke or censure; blameless."
unrecuring "Incurable."
unredeemed "Not redeemed."
unreformation "Want of reformation; state of being unreformed."
unregeneracy "The quality or state of being unregenerate."
unregenerate "Alt. of Unregenerated"
unregenerated "Not regenerated; not renewed in heart; remaining or being at enmity with God."
unregeneration "Unregeneracy."
unrein "To loosen the reins of; to remove restraint from."
unrelenting "Not relenting; unyielding; rigid; hard; stern; cruel."
unreliable "Not reliable; untrustworthy. See Reliable."
unreligious "Irreligious."
unremembrance "Want of remembrance; forgetfulness."
unremorseless "Utterly remorseless."
unrepentance "Impenitence."
unreproachable "Not liable to be reproached; irreproachable."
unreprievable "Not capable of being reprieved."
unreproved "Not reproved."
unreputable "Disreputable."
unreserve "Absence of reverse; frankness; freedom of communication."
unreserved "Not reserved; not kept back; not withheld in part; unrestrained."
unresistance "Nonresistance; passive submission; irresistance."
unresisted "Not resisted; unopposed."
unresistible "Irresistible."
unrespect "Disrespect."
unresponsible "Irresponsible."
unrest "Want of rest or repose; unquietness; sleeplessness; uneasiness; disquietude."
unrestraint "Freedom from restraint; freedom; liberty; license."
unrevenued "Not furnished with a revenue."
unreverence "Absence or lack of reverence; irreverence."
unreverend "Not reverend."
unreverent "Irreverent."
unreverently "Irreverently."
unriddler "One who unriddles."
unright "Not right; wrong."
unrightwise "Unrighteous."
unrioted "Free from rioting."
unrip "To rip; to cut open."
unripe "Developing too early; premature."
unripeness "Quality or state of being unripe."
unrivaled "Having no rival; without a competitor; peerless."
unrobe "To disrobe; to undress; to take off the robes."
unroll "To display; to reveal."
un-romanized "Not subjected to Roman arms or customs."
unroofed "Not yet roofed."
unroost "To drive from the roost."
unroot "To tear up by the roots; to eradicate; to uproot."
unrude "Not rude; polished."
unruffle "To cease from being ruffled or agitated."
unruffled "Not ruffled or agitated; smooth; calm; tranquil; quiet."
unruinate "Alt. of Unruinated"
unruinated "Not ruined or destroyed."
unruled "Not governed or controlled."
unruliment "Unruliness."
unruliness "Quality or state unruly."
unsad "Unsteady; fickle."
unsadden "To relieve from sadness; to cheer."
unsaddle "To throw from the saddle; to unhorse."
unsadness "Infirmity; weakness."
unsafety "The quality or state of being in peril; absence of safety; insecurity."
unsaint "To deprive of saintship; to deny sanctity to."
unsaintly "Unbecoming to a saint."
unsalable "Not salable; unmerchantable."
unsanctification "Absence or lack of sanctification."
unsatiability "Quality of being unsatiable; insatiability."
unsatiable "Insatiable."
unsatiate "Insatiate."
unsatisfaction "Dissatisfaction."
unsaturation "The quality or state of being unsaturated."
unscale "To divest of scales; to remove scales from."
unscapable "Not be escaped; inevitable."
unsceptered "Alt. of Unsceptred"
unsceptred "Having no scepter."
unscience "Want of science or knowledge; ignorance."
unscrupulous "Not scrupulous; unprincipled."
unscrutable "Inscrutable."
unsoutcheoned "Destitute of an escutcheon."
unseam "To open the seam or seams of; to rip; to cut; to cut open."
unsearchable "Not searchable; inscrutable; hidden; mysterious."
unseason "To make unseasoned; to deprive of seasoning."
unseasoned "Not seasoned."
unseat "To throw from one's seat; to deprive of a seat."
unseconded "Not exemplified a second time."
unsecret "To disclose; to divulge."
unsecularize "To cause to become not secular; to detach from secular things; to alienate from the world."
unsecure "Insecure."
unseem "Not to seem."
unseeming "Unbeseeming; not fit or becoming."
unseemliness "The quality or state of being unseemly; unbecomingness."
unseemly "Not seemly; unbecoming; indecent."
unseen "Not seen or discovered."
unseldom "Not seldom; frequently."
unsely "Not blessed or happy; wretched; unfortunate."
unsensed "Wanting a distinct meaning; having no certain signification."
unsensible "Insensible."
unsensualize "To elevate from the domain of the senses; to purify."
unseparable "Inseparable."
unservice "Neglect of duty; idleness; indolence."
unset "Not set; not fixed or appointed."
unsettle "To move or loosen from a settled position or state; to unfix; to displace; to disorder; to confuse."
unsettledness "The quality or state of being unsettled."
unseven "To render other than seven; to make to be no longer seven."
unsexed "of Unsex"
unsexing "of Unsex"
unsexual "Not sexual; not proper or peculiar to one of the sexes."
unshackle "To loose from shackles or bonds; to set free from restraint; to unfetter."
unshakable "Not capable of being shaken; firm; fixed."
unshaked "Unshaken."
unshaped "Alt. of Unshapen"
unshapen "Not shaped; shapeless; misshapen; deformed; ugly."
unshell "To strip the shell from; to take out of the shell; to hatch."
unshent "Not shent; not disgraced; blameless."
unsheriff "To depose from the office of sheriff."
unshet "To unshut."
unshiftable "That may /ot be shifted."
unshout "To recall what is done by shouting."
unshroud "To remove the shroud from; to uncover."
unshrubbed "Being without shrubs."
unshutter "To open or remove the shutters of."
unsight "Doing or done without sight; not seeing or examining."
unsightable "Invisible."
unsignificant "Insignificant."
unsilly "See Unsely."
unsimplicity "Absence of simplicity; artfulness."
unsincere "Not sincere or pure; insincere."
unsincerity "The quality or state of being unsincere or impure; insincerity."
unsinew "To deprive of sinews or of strength."
unsisterly "Not sisterly."
unsisting "Unresisting."
unsitting "Not sitting well; unbecoming."
unskill "Want of skill; ignorance; unskillfulness."
unskillful "Lacking discernment; injudicious; ignorant."
unsluice "To sluice; to open the sluice or sluices of; to let flow; to discharge."
unsociability "The quality or state of being unsociable; unsociableness."
unsocket "To loose or take from a socket."
unsoft "Not soft; hard; coarse; rough."
unsoldiered "Not equipped like a soldier; unsoldierlike."
unsolemnize "To divest of solemnity."
unsonable "Incapable of being sounded."
unsonsy "Not soncy ; not fortunate."
unsoot "Not sweet."
unsophisticate "Alt. of Unsophisticated"
unsophisticated "Not sophisticated; pure; innocent; genuine."
unsorrowed "Not sorrowed for; unlamented."
unsorted "Not well selected; ill-chosen."
unsound "Not sound; not whole; not solid; defective; infirm; diseased."
unsparing "Not sparing; not parsimonious; liberal; profuse."
unsped "Not performed; not dispatched."
unspell "To break the power of ; to release from the influence of a spell; to disenchant."
unspilt "Not spilt or wasted; not shed."
unspirit "To dispirit."
unspiritalize "To deprive of spiritually."
unspleened "Deprived of a spleen."
unsquire "To divest of the title or privilege of an esquire."
unstarch "To free from starch; to make limp or pliable."
unstate "To deprive of state or dignity."
unsteel "To disarm; to soften."
unstill "Not still; restless."
unsting "To disarm of a sting; to remove the sting of."
unstockinged "Destitute of stockings."
unstop "To free from any obstruction; to open."
unstrain "To relieve from a strain; to relax."
unstrength "Want of strength; weakness; feebleness."
unstriated "Nonstriated; unstriped."
unstring "To relax the tension of; to loosen."
unstriped "Not striped."
unstudied "Not studied; not acquired by study; unlabored; natural."
unsubstantial "Lacking in matter or substance; visionary; chimerical."
unsubstantialize "To make unsubstantial."
unsubstantiation "A divesting of substantiality."
unsucceedable "Not able or likely to succeed."
unsuccess "Want of success; failure; misfortune."
unsufferable "Insufferable."
unsufficience "Alt. of Unsufficiency"
unsufficiency "Insufficiency."
unsufficient "Insufficient."
unsuit "Not to suit; to be unfit for."
unsupportable "Insupportable; unendurable."
unsured "Not made sure."
unsurety "Want of surety; uncertainty; insecurity; doubt."
unsurmountable "Insurmountable."
unsuspicion "The quality or state of being unsuspecting."
unswaddle "To take a swaddle from; to unswathe."
unswathe "To take a swathe from; to relieve from a bandage; to unswaddle."
unswayable "Not capable of being swayed."
unswear "To recall an oath."
unsweat "To relieve from perspiration; to ease or cool after exercise or toil."
unswell "To sink from a swollen state; to subside."
unsymmetrically "Not symmetrically."
unsympathy "Absence or lack of sympathy."
untackle "To unbitch; to unharness."
untalked "Not talked; not mentioned; -- often with of."
untangibility "Intangibility."
untangible "Intangible."
untangibly "Intangibly."
untappice "to come out of concealment."
untaste "To deprive of a taste for a thing."
unteam "To unyoke a team from."
untemperate "Intemperate."
untemperately "Intemperately."
untenant "To remove a tenant from."
untent "To bring out of a tent."
untented "Not tended; not dressed. See 4th Tent."
unthank "No thanks; ill will; misfortune."
unthinking "Not indicating thought or reflection; thoughtless."
unthread "To deprive of ligaments; to loose the ligaments of."
untrift "Want of thrift; untriftiness; prodigality."
unthrift "Unthrifty."
unthriftfully "Not thriftily."
unthriftihead "Alt. of Unthriftihood"
unthriftihood "Untriftiness."
unthriftily "Not thriftily."
unthriftiness "The quality or state or being unthrifty; profuseness; lavishness."
unthrifty "Not thrifty; profuse."
untidy "Unseasonable; untimely."
untie "To free from fastening or from restraint; to let loose; to unbind."
untighten "To make less tight or tense; to loosen."
until "To; unto; towards; -- used of material objects."
untile "To take the tiles from; to uncover by removing the tiles."
untime "An unseasonable time."
untimeliness "Unseasonableness."
untimely "Out of the natural or usual time; inopportunely; prematurely; unseasonably."
untimeous "Untimely."
untimeously "Untimely; unseasonably."
untithed "Not subjected tithes."
untitled "Being without title or right; not entitled."
unto "Until; till."
untolerable "Intolerable."
untomb "To take from the tomb; to exhume; to disinter."
untooth "To take out the teeth of."
untoward "Toward."
untowardly "Perverse; froward; untoward."
untraded "Not dealt with in trade; not visited for purposes of trade."
untrained "Not trained."
untrammeled "Not hampered or impeded; free."
untread "To tread back; to retrace."
untreasured "Deprived of treasure."
untreatable "Incapable of being treated; not practicable."
untrenched "Being without trenches; whole; intact."
untressed "Not tied up in tresses; unarranged; -- said of the hair."
untrowable "Incredible."
untrue "Not faithful; inconstant; false; disloyal."
untruism "Something not true; a false statement."
untrunked "Separated from its trunk or stock."
untruss "Alt. of Untrusser"
untrusser "One who untrussed persons for the purpose of flogging them; a public whipper."
untrust "Distrust."
untrustful "Not trustful or trusting."
untruthful "Not truthful; unveracious; contrary to the truth or the fact."
unturned "Not turned; not revolved or reversed."
untwain "To rend in twain; to tear in two."
untwine "To become untwined."
untwirl "To untwist; to undo."
untwist "To untie; to open; to disentangle."
unty "To untie."
unusage "Want or lack of usage."
unused "Not habituated; unaccustomed."
unusuality "Unusualness."
unvail "See Unveil."
unvaluable "Invaluable; being beyond price."
unvalued "Having inestimable value; invaluable."
unvariable "Invariable."
unveil "To remove a veil; to reveal one's self."
unveiler "One who removes a veil."
unvessel "To cause to be no longer a vessel; to empty."
unvicar "To deprive of the position or office a vicar."
unviolable "Inviolable."
unvisard "To take the vizard or mask from; to unmask."
unvisible "Invisible."
unvisibly "Invisibly."
unvitiated "Not vitiated; pure."
unvoluntary "Involuntary."
unvoweled "Having no vowel sounds or signs."
unvulgarize "To divest of vulgarity; to make to be not vulgar."
unvulnerable "Invulnerable."
unware "Unaware; not foreseeing; being off one's guard."
unwares "Unawares; unexpectedly; -- sometimes preceded by at."
unwarily "In an unwary manner."
unwariness "The quality or state of being unwary; carelessness; heedlessness."
unwarm "To lose warmth; to grow cold."
unwarp "To restore from a warped state; to cause to be linger warped."
unwarrantable "Not warrantable; indefensible; not vindicable; not justifiable; illegal; unjust; improper."
unwary "Not vigilant against danger; not wary or cautious; unguarded; precipitate; heedless; careless."
unwashed "Not washed or cleansed; filthy; unclean."
unwashen "Not washed."
unwayed "Having no ways or roads; pathless."
unweary "To cause to cease being weary; to refresh."
unwedgeable "Not to be split with wedges."
unweeting "Unwitting."
unweighing "Not weighing or pondering; inconsiderate."
unweld "Alt. of Unweldy"
unweldy "Unwieldy; unmanageable; clumsy."
unwell "Not well; indisposed; not in good health; somewhat ill; ailing."
unwellness "Quality or state of being unwell."
unwemmed "Not blemished; undefiled; pure."
unwhole "Not whole; unsound."
unwieldy "Not easily wielded or carried; unmanageable; bulky; ponderous."
unwild "To tame; to subdue."
unwill "To annul or reverse by an act of the will."
unwilled "Deprived of the faculty of will or volition."
unwind "To disentangle."
unwisdom "Want of wisdom; unwise conduct or action; folly; simplicity; ignorance."
unwisely "In an unwise manner; foolishly."
unwish "To wish not to be; to destroy by wishing."
unwist "Not known; unknown."
unwit "To deprive of wit."
unwitch "To free from a witch or witches; to fee from witchcraft."
unwitting "Not knowing; unconscious; ignorant."
unwoman "To deprive of the qualities of a woman; to unsex."
unwonder "To divest of the quality of wonder or mystery; to interpret; to explain."
unwont "Unwonted; unused; unaccustomed."
unworldly "Not worldly; spiritual; holy."
unworship "To deprive of worship or due honor; to dishonor."
unworth "Unworthy."
unwray "See Unwrie."
unwrie "To uncover."
unwrinkle "To reduce from a wrinkled state; to smooth."
unwroken "Not revenged; unavenged."
unyoke "To loose or free from a yoke."
unyoked "Not yet yoked; not having worn the yoke."
unyolden "Not yielded."
up "Aloft; on high; in a direction contrary to that of gravity; toward or in a higher place or position; above; -- the opposite of down."
upbar "To fasten with a bar."
upbear "To bear up; to raise aloft; to support in an elevated situation; to sustain."
upbind "To bind up."
upblow "To inflate."
upbraided "of Upbraid"
upbraiding "of Upbraid"
upbraid "To reprove severely; to rebuke; to chide."
upbreak "To break upwards; to force away or passage to the surface."
upbreathe "To breathe up or out; to exhale."
upbrought "Brought up; educated."
upbuoyance "The act of buoying up; uplifting."
upcast "A cast; a throw."
upcaught "Seized or caught up."
upcheer "To cheer up."
upclimb "To climb up; to ascend."
upcountry "The interior of the country."
upcurl "To curl up."
updive "To spring upward; to rise."
updraw "To draw up."
upeygan "The borele."
upfill "To fill up."
upflow "To flow or stream up."
upflung "Flung or thrown up."
upgather "To gather up; to contract; to draw together."
upgaze "To gaze upward."
upgive "To give up or out."
upgrow "To grow up."
upgrowth "The process or result of growing up; progress; development."
upgush "A gushing upward."
uphaf "imp. of Upheave."
uphang "To hang up."
upheaped "Piled up; accumulated."
upheave "To heave or lift up from beneath; to raise."
upheld "imp. & p. p. of Uphold."
uphoard "To hoard up."
uphold "To hold up; to lift on high; to elevate."
upholder "A broker or auctioneer; a tradesman."
upholster "A broker."
upholstery "The articles or goods supplied by upholsterers; the business or work of an upholsterer."
uphroe "Same as Euphroe."
uplander "The upland sandpiper."
uplandish "Of or pertaining to uplands; dwelling on high lands."
uplay "To hoard."
uplead "To lead upward."
uplean "To lean or incline upon anything."
uplifting "of Uplift"
up-line "A line or track leading from the provinces toward the metropolis or a principal terminus; the track upon which up-trains run. See Up-train."
uplock "To lock up."
uplook "To look or gaze up."
upmost "Highest; topmost; uppermost."
uppent "A Pent up; confined."
upper "The upper leather for a shoe; a vamp."
uppish "Proud; arrogant; assuming; putting on airs of superiority."
upplight "imp. & p. p. of Uppluck."
uppluck "To pull or pluck up."
uppricked "Upraised; erect; -- said of the ears of an animal."
upprop "To prop up."
upraise "To raise; to lift up."
uprear "To raise; to erect."
upright "Conformable to moral rectitude."
uprighteously "In an upright or just manner."
uprightly "In an upright manner."
uprightness "the quality or state of being upright."
uprise "To rise; to get up; to appear from below the horizon."
uprising "An insurrection; a popular revolt."
uprist "Uprising."
uproar "Great tumult; violent disturbance and noise; noisy confusion; bustle and clamor."
uproll "To roll up."
uprouse "To rouse up; to rouse from sleep; to awake; to arouse."
uprun "To run up; to ascend."
uprush "To rush upward."
upsarokas "See Crows."
upseek "To seek or strain upward."
upset "To set up; to put upright."
upshoot "To shoot upward."
upshot "Final issue; conclusion; the sum and substance; the end; the result; the consummation."
upside "The upper side; the part that is uppermost."
upsidown "See Upsodown."
upskip "An upstart."
upsnatch "To snatch up."
upsoar "To soar or mount up."
upsodown "Upside down."
upspring "To spring up."
upspurner "A spurner or contemner; a despiser; a scoffer."
upstairs "Up the stairs; in or toward an upper story."
upstand "To stand up; to be erected; to rise."
upstart "To start or spring up suddenly."
upstay "To sustain; to support."
upsterte "imp. & p. p. of Upstart."
upstir "Insurrection; commotion; disturbance."
upstream "Toward the higher part of a stream; against the current."
upswell "To swell or rise up."
upsyturvy "Upside down; topsy-turvy."
uptails "all An old game at cards."
uptake "To take into the hand; to take up; to help."
uptear "To tear up."
upthrow "To throw up."
upthunder "To send up a noise like thunder."
uptie "To tie up."
uptill "To; against."
uptrace "To trace up or out."
uptrain "To train up; to educate."
up-train "A train going in the direction of the metropolis or the main terminus."
upupa "A genus of birds which includes the common hoopoe."
upwaft "To waft upward."
upward "Alt. of Upwards"
upwards "In the upper parts; above."
upwhirl "To rise upward in a whirl; to raise upward with a whirling motion."
upwind "To wind up."
upyat "imp. of Upgive."
ur "Alt. of Ure"
ure "The urus."
urachus "A cord or band of fibrous tissue extending from the bladder to the umbilicus."
uraeum "The posterior half of an animal."
urali "See Curare."
uralian "Alt. of Uralic"
uralic "Of or relating to the Ural Mountains."
uralite "Amphibole resulting from the alternation of pyroxene by paramorphism. It is not uncommon in massive eruptive rocks."
uralitization "The change of pyroxene to amphibole by paramorphism."
uramil "Murexan."
uranate "A salt of uranic acid."
uranic "Of or pertaining to the heavens; celestial; astronomical."
uraniscoplasty "The process of forming an artificial palate."
uraniscoraphy "Alt. of Uraniscorrhaphy"
uraniscorrhaphy "Suture of the palate. See Staphyloraphy."
uranitic "Of or pertaining to uranium; containing uranium."
uran-ocher "Alt. of Uran-ochre"
uranographic "Alt. of Uranographical"
uranographist "One practiced in uranography."
uranolite "A meteorite or aerolite."
uranology "A discourse or treatise on the heavens and the heavenly bodies; the study of the heavens; uranography."
uranometria "A uranometry."
uranoplasty "The plastic operation for closing a fissure in the hard palate."
uranoscopy "Observation of the heavens or heavenly bodies."
uran-utan "The orang-utang"
urao "See Trona."
urare "Alt. of Urari"
urari "See Curare."
urbane "Courteous in manners; polite; refined; elegant."
urbaniste "A large and delicious pear or Flemish origin."
urbanity "The quality or state of being urbane; civility or courtesy of manners; politeness; refinement."
urbicolous "Of or pertaining to a city; urban."
urceolar "Urceolate."
urceoli "of Urceolus"
urceolus "Any urn-shaped organ of a plant."
urchin "A hedgehog."
urdu "The language more generally called Hindustanee."
urechitin "A glucoside extracted from the leaves of a certain plant as a bitter white crystalline substance."
uredo "Nettle rash. See Urticaria."
-uret "A suffix with the same meaning as -ide. See -ide."
ureteritis "Inflammation of the ureter."
urethra "The canal by which the urine is conducted from the bladder and discharged."
urethral "Of or pertaining to the urethra."
urethritis "Inflammation of the urethra."
urethroplasty "An operation for the repair of an injury or a defect in the walls of the urethra."
urethroscope "An instrument for viewing the interior of the urethra."
urethroscopy "Examination of the urethra by means of the urethroscope."
urethrotome "An instrument for cutting a urethral stricture."
urged "of Urge"
urging "of Urge"
urge "To press; to push; to drive; to impel; to force onward."
urgence "Urgency."
urgently "In an urgent manner."
urger "One who urges."
urinal "A place or convenience for urinating purposes."
urinate "To discharge urine; to make water."
urination "The act or process of voiding urine; micturition."
urinative "Provoking the flow of urine; uretic; diuretic."
urine "To urinate."
urinometer "A small hydrometer for determining the specific gravity of urine."
urinometry "The estimation of the specific gravity of urine by the urinometer."
urinose "Alt. of Urinous"
urite "One of the segments of the abdomen or post-abdomen of arthropods."
urith "The bindings of a hedge."
urn "Fig.: Any place of burial; the grave."
urnal "Of or pertaining to an urn; effected by an urn or urns."
urnfuls "of Urnful"
urnful "As much as an urn will hold; enough to fill an urn."
urocele "A morbid swelling of the scrotum due to extravasation of urine into it."
urochord "The central axis or cord in the tail of larval ascidians and of certain adult tunicates."
urochorda "Same as Tunicata."
urochordal "Of or pertaining to the Urochorda."
urochs "See Aurochs."
urocord "See Urochord."
urocyst "The urinary bladder."
urodele "One of the Urodela."
urodelian "Of or pertaining to the Urodela."
urogastric "Behind the stomach; -- said of two lobes of the carapace of certain crustaceans."
urogenital "Same as Urinogenital."
urohyal "Of or pertaining to one or more median and posterior elements in the hyoidean arch of fishes."
urology "See Uronology."
uromere "Any one of the abdominal segments of an arthropod."
uronology "That part of medicine which treats of urine."
uropodal "Of or pertaining to a uropod."
uroscopy "The diagnosis of diseases by inspection of urine."
urostege "One of the plates on the under side of the tail of a serpent."
urostea "of Urosteon"
urosteons "of Urosteon"
urosteon "A median ossification back of the lophosteon in the sternum of some birds."
urostyle "A styliform process forming the posterior extremity of the vertebral column in some fishes and amphibians."
urox "The aurochs."
uroxanate "A salt of uroxanic acid."
uroxanthin "Same as Indican."
urry "A sort of blue or black clay lying near a vein of coal."
ursa "Either one of the Bears. See the Phrases below."
ursal "The ursine seal. See the Note under 1st Seal."
ursiform "Having the shape of a bear."
ursine "Of or pertaining to a bear; resembling a bear."
urson "The Canada porcupine. See Porcupine."
ursuk "The bearded seal."
ursus "A genus of Carnivora including the common bears."
urtical "Resembling nettles; -- said of several natural orders allied to urticaceous plants."
urticated "of Urticate"
urticating "of Urticate"
urtication "The act or process of whipping or stinging with nettles; -- sometimes used in the treatment of paralysis."
urubu "The black vulture . It ranges from the Southern United States to South America. See Vulture."
usable "Capable of being used."
usage "Manners; conduct; behavior."
usager "One who has the use of anything in trust for another."
usance "Use; usage; employment."
usant "Using; accustomed."
usbegs "Alt. of Usbeks"
use "Yielding of service; advantage derived; capability of being used; usefulness; utility."
used "of Use"
using "of Use"
usefully "In a useful manner."
usefulness "The quality or state of being useful; utility; serviceableness; advantage."
user "One who uses."
ushered "of Usher"
ushering "of Usher"
usherless "Destitute of an usher."
ushership "The office of an usher; usherdom."
usitative "Denoting usual or customary action."
usquebaugh "A compound distilled spirit made in Ireland and Scotland; whisky."
usself "Ourselves."
ustorious "Having the quality of burning."
ustulate "Blackened as if burned."
ustulation "The act of burning or searing."
usucaption "The acquisition of the title or right to property by the uninterrupted possession of it for a certain term prescribed by law; -- the same as prescription in common law."
usufructuary "A person who has the use of property and reaps the profits of it."
usurarious "Alt. of Usurary"
usurary "Usurious."
usured "of Usure"
usuring "of Usure"
usure "To practice usury; to charge unlawful interest."
usurer "One who lends money and takes interest for it; a money lender."
usurped "of Usurp"
usurping "of Usurp"
usurpant "Usurping; encroaching."
usurpation "Use; usage; custom."
usurpatory "Marked by usurpation; usurping."
usurpature "Usurpation."
usurpingly "In a usurping manner."
usury "The practice of taking interest."
uterogestation "Gestation in the womb from conception to birth; pregnancy."
uterovaginal "Pertaining to both the uterus and the vagina."
uterus "The organ of a female mammal in which the young are developed previous to birth; the womb."
utile "Profitable; useful."
utilitarian "One who holds the doctrine of utilitarianism."
utilitarianism "The doctrine that the greatest happiness of the greatest number should be the end and aim of all social and political institutions."
utilized "of Utilize"
utilizing "of Utilize"
uti "possidetis The basis or principle of a treaty which leaves belligerents mutually in possession of what they have acquired by their arms during the war."
utis "See Utas."
utlary "Outlawry."
utopianist "An Utopian; an optimist."
utopical "Utopian; ideal."
utopist "A Utopian."
utricle "A utriculus."
utriculate "Resembling a bladder; swollen like a bladder; inflated; utricular."
utriculoid "Resembling a bladder; utricular; utriculate."
utter "Outer."
uttered "of Utter"
uttering "of Utter"
utterable "Capable of being uttered."
utterance "The act of uttering."
utterer "One who utters."
utterest "Uttermost."
utterless "Incapable of being uttered."
uttermore "Further; outer; utter."
uttermost "The utmost; the highest or greatest degree; the farthest extent."
uvate "A conserve made of grapes."
uva-ursi "The bearberry."
uvea "The posterior pigmented layer of the iris; -- sometimes applied to the whole iris together with the choroid coat."
uveous "Resembling a grape."
uvrou "See Euphroe."
uvula "The pendent fleshy lobe in the middle of the posterior border of the soft palate."
uvular "Of or pertaining to a uvula."
uvulatome "An instrument for removing the uvula."
uvulatomy "The operation of removing the uvula."
uwarowite "Ouvarovite."
uxoricidal "Of or pertaining to uxoricide; tending to uxoricide."
uxoricide "The murder of a wife by her husband."
uzema "A Burman measure of twelve miles."
vaagmer "The dealfish."
vacancies "of Vacancy"
vacancy "That which is vacant."
vacantly "In a vacant manner; inanely."
vacated "of Vacate"
vacating "of Vacate"
vacate "To defeat; to put an end to."
vacation "Intermission of judicial proceedings; the space of time between the end of one term and the beginning of the next; nonterm; recess."
vaccina "Vaccinia."
vaccinal "Of or pertaining to vaccinia or vaccination."
vaccinated "of Vaccinate"
vaccinating "of Vaccinate"
vaccine "The virus of vaccinia used in vaccination."
vaccinia "Cowpox; vaccina. See Cowpox."
vaccinist "A vaccinator."
vaccinium "A genus of ericaceous shrubs including the various kinds of blueberries and the true cranberries."
vacher "A keeper of stock or cattle; a herdsman."
vachery "An inclosure for cows."
vacillant "Vacillating; wavering; fluctuating; irresolute."
vacillated "of Vacillate"
vacillating "of Vacillate"
vacillate "To move one way and the other; to reel or stagger; to waver."
vacillation "The act of vacillating; a moving one way and the other; a wavering."
vacillatory "Inclined to vacillate; wavering; irresolute."
vacuation "The act of emptying; evacuation."
vacuity "Want of reality; inanity; nihility."
vacuous "Empty; unfilled; void; vacant."
vacuousness "The quality or state of being vacuous; emptiness; vacuity."
vacuums "of Vacuum"
vacua "of Vacuum"
vade "mecum A book or other thing that a person carries with him as a constant companion; a manual; a handbook."
vadimony "A bond or pledge for appearance before a judge on a certain day."
vadium "Pledge; security; bail. See Mortgage."
vae "See Voe."
vagabond "Moving from place to place without a settled habitation; wandering."
vagabondage "The condition of a vagabond; a state or habit of wandering about in idleness; vagrancy."
vagabondism "Vagabondage."
vagabondize "To play the vagabond; to wander about in idleness."
vagabondry "Vagabondage."
vagancy "A wandering; vagrancy."
vagaries "of Vagary"
vagary "A wandering or strolling."
vagient "Crying like a child."
vaginae "of Vagina"
vaginate "Alt. of Vaginated"
vaginati "A tribe of birds comprising the sheathbills."
vaginicola "A genus of Infusoria which form minute vaselike or tubular cases in which they dwell."
vaginopennous "Having elytra; sheath-winged."
vaginula "One of the tubular florets in composite flowers."
vaginule "A vaginula."
vagissate "To caper or frolic."
vagous "Wandering; unsettled."
vagrancy "The quality or state of being a vagrant; a wandering without a settled home; an unsettled condition; vagabondism."
vagrant "Moving without certain direction; wandering; erratic; unsettled."
vagrantly "In a vagrant manner."
vagrantness "State of being vagrant; vagrancy."
vague "Wandering; vagrant; vagabond."
vaguely "In a vague manner."
vagueness "The quality or state of being vague."
vagus "Wandering; -- applied especially to the pneumogastric nerve."
vail "Same as Veil."
vailer "One who vails."
vain "Showy; ostentatious."
vainglorious "Feeling or indicating vainglory; elated by vanity; boastful."
vainglory "Excessive vanity excited by one's own performances; empty pride; undue elation of mind; vain show; boastfulness."
vainly "In a vain manner; in vain."
vainness "The quality or state of being vain."
vairy "Charged with vair; variegated with shield-shaped figures. See Vair."
vaishnava "A worshiper of the god Vishnu in any of his incarnations."
vaishnavism "The worship of Vishnu."
vaivode "See Waywode."
valance "The drooping edging of the lid of a trunk. which covers the joint when the lid is closed."
valanced "of Valance"
valancing "of Valance"
valediction "A farewell; a bidding farewell."
valedictories "of Valedictory"
valencies "of Valency"
valency "See Valence."
valentia "See Valencia."
valentine "A sweetheart chosen on St. Valentine's Day."
valerate "A salt of valeric acid."
valerianate "A valerate."
valerone "A ketone of valeric acid obtained as an oily liquid."
valet "A male waiting servant; a servant who attends on gentleman's person; a body servant."
valetudinarian "Of infirm health; seeking to recover health; sickly; weakly; infirm."
valetudinarianism "The condition of a valetudinarian; a state of feeble health; infirmity."
valetudinary "Infirm; sickly; valetudinarian."
valetudinous "Valetudinarian."
valiance "Alt. of Valiancy"
valiancy "The quality or state of being valiant; bravery; valor."
valiant "Intrepid in danger; courageous; brave."
valid "Strong; powerful; efficient."
validate "To confirm; to render valid; to give legal force to."
validation "The act of giving validity."
validity "Value."
validly "In a valid manner; so as to be valid."
validness "The quality or state of being valid."
valinch "A tube for drawing liquors from a cask by the bunghole."
vallancy "A large wig that shades the face."
vallar "Of or pertaining to a rampart."
vallary "Same as Vallar."
vallation "A rampart or intrenchment."
valleculae "of Vallecula"
valleys "of Valley"
valley "The depression formed by the meeting of two slopes on a flat roof."
valla "of Vallum"
vallums "of Vallum"
valor "Value; worth."
valorous "Possessing or exhibiting valor; brave; courageous; valiant; intrepid."
valuableness "The quality of being valuable."
valuably "So as to be of value."
value "Esteem; regard."
valued "of Value"
valuing "of Value"
valueless "Being of no value; having no worth."
valuer "One who values; an appraiser."
valure "Value."
valvasor "See Vavasor."
valvata "A genus of small spiral fresh-water gastropods having an operculum."
